ts_code,date,open,high,low,close,pre_close,change,pct_chg,vol,amount,MA5,MA10,MA20,RSI,turnover_rate,volatility,MACD,Signal,Hist,revenue,net_profit,revenue_growth,net_profit_growth
001289.SZ,1970-01-01 00:00:00.020250312,15.84,15.9,15.71,15.88,15.8,0.08,0.5063,21099.4,33389.073,15.968,15.947,16.385,27.407407407407433,0.6319253008312031,0.0244747785355091,-0.27188906986700445,-0.2508316303570075,-0.021057439509996945,,,0.0,0.0
001289.SZ,1970-01-01 00:00:00.020250311,15.72,15.81,15.6,15.8,15.79,0.01,0.0633,22859.27,35964.938,15.934000000000001,15.930000000000001,16.314,32.314410480349395,0.6355987601035208,0.02440898177801694,-0.2733697357989442,-0.2553392514453949,-0.018030484353549314,,,0.0,0.0
001289.SZ,1970-01-01 00:00:00.020250310,15.87,15.89,15.73,15.79,15.9,-0.11,-0.6918,36690.41,57935.991,15.868,15.928999999999998,16.198500000000003,53.237410071942435,0.633292179294905,0.02072419298571095,-0.27221219787326945,-0.2587138407309698,-0.013498357142299633,,,0.0,0.0
001289.SZ,1970-01-01 00:00:00.020250307,15.98,16.02,15.86,15.9,16.01,-0.11,-0.6871,25638.2,40851.986,15.844,15.934000000000001,16.104499999999998,52.89855072463767,0.627587603696917,0.020763163784476377,-0.25942823285602223,-0.2588567191559803,-0.0005715137000419368,,,0.0,0.0
001289.SZ,1970-01-01 00:00:00.020250306,16.03,16.09,15.76,16.01,15.97,0.04,0.2505,34184.19,54494.979,15.876,15.943000000000001,16.0345,51.85185185185187,0.6272906353445884,0.020602611528828526,-0.2376809299752054,-0.25462156131982533,0.016940631344619927,,,0.0,0.0
001289.SZ,1970-01-01 00:00:00.020250305,16.12,16.14,15.9,15.97,16.12,-0.15,-0.9305,20933.97,33470.264,15.894,15.931000000000001,16.0065,50.0,0.6254498022483479,0.017446193614764245,-0.22112471341644202,-0.2479221917391487,0.02679747832270668,,,0.0,0.0
001289.SZ,1970-01-01 00:00:00.020250304,15.92,16.15,15.88,16.12,16.0,0.12,0.75,23571.29,37848.015,15.958000000000002,15.946000000000002,15.9575,61.7647058823529,0.6227880114716716,0.01551176464516793,-0.1936675669568224,-0.23707126678268348,0.043403699825861064,,,0.0,0.0
001289.SZ,1970-01-01 00:00:00.020250303,16.01,16.12,15.89,16.0,16.01,-0.01,-0.0625,34357.79,54999.987,16.0,15.934000000000001,15.927000000000001,55.244755244755225,0.6246872385624382,0.014333474465441046,-0.17952116939493834,-0.22556124730513447,0.046040077910196125,,,0.0,0.0
001289.SZ,1970-01-01 00:00:00.020250228,16.05,16.23,15.94,16.01,16.09,-0.08,-0.4972,43335.44,69627.526,16.022000000000002,15.933000000000002,15.9425,53.28467153284675,0.6223894842967709,0.007051989894656526,-0.16559426339181016,-0.21356785052246963,0.04797358713065947,,,0.0,0.0
001289.SZ,1970-01-01 00:00:00.020250227,16.34,16.37,16.05,16.09,16.34,-0.25,-1.53,50017.33,80751.707,16.038,15.956999999999999,15.956,50.0,0.6193965658212031,0.0069448244850513945,-0.1464139893051204,-0.2001370782789998,0.053723088973879396,,,0.0,0.0
001289.SZ,1970-01-01 00:00:00.020250226,16.5,16.58,16.27,16.34,16.51,-0.17,-1.0297,34887.83,57073.547,16.112000000000002,16.003,15.975,63.12056737588641,0.6112784614560578,0.007489000874818256,-0.1097751536040974,-0.1820646933440193,0.07228953973992192,,,0.0,0.0
001289.SZ,1970-01-01 00:00:00.020250225,16.32,16.7,16.2,16.51,16.48,0.03,0.182,42903.9,70755.688,16.19,16.074,16.002,63.636363636363555,0.6063667983837568,0.007763430339844694,-0.06625726063487036,-0.15890320680218953,0.09264594616731917,,,0.0,0.0
001289.SZ,1970-01-01 00:00:00.020250224,16.14,16.55,16.12,16.48,16.15,0.33,2.0433,44928.48,73596.812,16.286,16.143,16.036,66.91176470588226,0.610467746890993,0.007259659367886037,-0.033800139241488836,-0.1338825932900494,0.10008245404856056,,,0.0,0.0
001289.SZ,1970-01-01 00:00:00.020250221,16.39,16.43,16.08,16.15,16.34,-0.19,-1.1628,43022.96,69753.41,16.314,16.168,16.051,59.86842105263147,0.6167864768188394,0.008779148007267798,-0.034310370181245275,-0.11396814866828858,0.07965777848704331,,,0.0,0.0
001289.SZ,1970-01-01 00:00:00.020250220,16.43,16.56,16.2,16.34,16.5,-0.16,-0.9697,26346.79,43016.859,16.363999999999997,16.201,16.072,63.69047619047607,0.612475913222767,0.009079401714674524,-0.019162427240242863,-0.09500700438267944,0.07584457714243657,,,0.0,0.0
001289.SZ,1970-01-01 00:00:00.020250219,16.43,16.55,16.38,16.5,16.45,0.05,0.304,31205.97,51365.565,16.396,16.254,16.0925,69.88636363636348,0.6075270465729327,0.009033472703085854,0.005687527226243105,-0.07486809806089492,0.08055562528713803,,,0.0,0.0
001289.SZ,1970-01-01 00:00:00.020250218,16.68,16.86,16.42,16.45,16.67,-0.22,-1.3197,42674.67,70912.272,16.384,16.287,16.1165,68.33333333333323,0.6017952717690388,0.008860191433662505,0.02110344565751987,-0.055673789317211966,0.07677723497473184,,,0.0,0.0
001289.SZ,1970-01-01 00:00:00.020250217,16.29,16.78,16.21,16.67,16.26,0.41,2.5215,56620.55,93996.017,16.422,16.354000000000003,16.144,70.15706806282714,0.6023718004987382,0.009088185793182978,0.05049080687111385,-0.034440870079546805,0.08493167695066065,,,0.0,0.0
001289.SZ,1970-01-01 00:00:00.020250214,16.24,16.36,16.16,16.26,16.21,0.05,0.3085,29404.29,47769.429,16.444,16.378999999999998,16.156,55.65610859728505,0.6155461895933486,0.010716514819068174,0.040233146205167714,-0.0195060668226039,0.05973921302777162,,,0.0,0.0
001289.SZ,1970-01-01 00:00:00.020250213,16.16,16.33,16.0,16.21,16.15,0.06,0.3715,33055.99,53709.813,16.418,16.391,16.174,55.40540540540538,0.615455317262043,0.010422645311913302,0.027749416097034185,-0.010054970238676283,0.03780438633571047,,,0.0,0.0
001289.SZ,1970-01-01 00:00:00.020250212,16.05,16.28,16.01,16.15,16.15,0.0,0.0,29996.82,48457.511,16.348000000000003,16.372000000000003,16.1875,50.70422535211261,0.6190334456097013,0.010477303007662782,0.012866158421463325,-0.005470744506648362,0.018336902928111687,,,0.0,0.0
001289.SZ,1970-01-01 00:00:00.020250211,16.04,16.23,15.96,16.15,16.08,0.07,0.4353,38313.13,61757.786,16.288,16.336,16.205000000000002,53.73134328358203,0.6203773237596308,0.010387316244136894,0.001058863565429391,-0.004164822892232811,0.005223686457662202,,,0.0,0.0
001289.SZ,1970-01-01 00:00:00.020250210,16.41,16.55,15.99,16.08,16.22,-0.14,-0.8631,56965.21,92244.288,16.169999999999998,16.296,16.2195,51.69082125603856,0.6175472892153495,0.010453474095035538,-0.013787978427938441,-0.006089453999373938,-0.007698524428564503,,,0.0,0.0
001289.SZ,1970-01-01 00:00:00.020250207,16.08,16.31,15.96,16.22,16.18,0.04,0.2472,57724.43,93242.912,16.162,16.303,16.235500000000002,53.05164319248822,0.6190757963457856,0.010513143496649693,-0.014094900463447857,-0.007690543292188722,-0.006404357171259135,,,0.0,0.0
001289.SZ,1970-01-01 00:00:00.020250206,15.28,16.2,15.23,16.18,15.31,0.87,5.6826,93216.09,148211.263,16.156,16.287,16.244,45.83333333333336,0.6289406628968541,0.01044663762754252,-0.017365623990258428,-0.009625559431802664,-0.007740064558455764,,,0.0,0.0
001289.SZ,1970-01-01 00:00:00.020250205,15.11,15.36,14.92,15.31,15.0,0.31,2.0667,53862.64,81806.046,15.987999999999996,16.168,16.211000000000002,27.099236641221438,0.658418816623896,0.016037067185942118,-0.08913196722077643,-0.02552684098959742,-0.063605126231179,,,0.0,0.0
001289.SZ,1970-01-01 00:00:00.020250127,14.84,15.12,14.81,15.0,14.77,0.23,1.5572,37424.98,56242.854,15.758,16.023,16.155,24.482758620689737,0.6654175124185555,0.016297937497923864,-0.16907275502564723,-0.05423602379680738,-0.11483673122883985,,,0.0,0.0
001289.SZ,1970-01-01 00:00:00.020250124,14.74,14.88,14.67,14.77,14.72,0.05,0.3397,25357.95,37507.756,15.496,15.832999999999998,16.0935,25.357142857142946,0.6760721702466018,0.01649360264486982,-0.24812524968728944,-0.0930138689749038,-0.15511138071238564,,,0.0,0.0
001289.SZ,1970-01-01 00:00:00.020250123,14.81,15.03,14.72,14.72,14.77,-0.05,-0.3385,28569.06,42563.387,15.196000000000002,15.678999999999998,16.029000000000003,19.5488721804512,0.6712120912745971,0.01646055531616343,-0.31122193069356463,-0.13665548131863597,-0.17456644937492866,,,0.0,0.0
